cluster,profile_archetype,student_count,pct_cluster,avg_attempts_mean,avg_best_score_mean,fast_retry_mean,long_pause_mean
1,Checked Out,37,38.144329896907216,6.372072072072072,15.23288288288288,0.2828315230663011,0.2543269499164752
1,Confident,1,1.0309278350515463,1.0,50.0,0.0,0.0
1,Lucky (High),7,7.216494845360825,8.388095238095238,60.11904761904763,0.3165233701135956,0.37925271783354486
1,Passive,37,38.144329896907216,6.1891891891891895,10.864414414414414,0.274924623248495,0.038514647404745896
1,Persistent Learner,1,1.0309278350515463,15.5,5.0,0.5557539682539683,0.0474867724867724
1,Quick Quit,3,3.0927835051546393,6.466666666666666,0.3333333333333333,0.5077380952380952,0.3277777777777777
1,Resigned,6,6.185567010309279,6.361111111111111,2.0,0.5483700058970957,0.009636939571150083
1,Struggling Guesser,4,4.123711340206185,17.958333333333332,28.583333333333336,0.2809482038429406,0.19466269841269834
1,Thrashing,1,1.0309278350515463,15.666666666666666,22.5,0.5799156399156399,0.2741095941095941
2,Checked Out,4,0.814663951120163,11.975,34.16666666666667,0.45467766868628934,0.1164966749665025
2,Confident,33,6.720977596741344,10.083333333333334,81.28888888888889,0.38924075711049894,0.050821333060163426
2,Effective Sprint,44,8.961303462321792,21.637878787878787,84.63560606060607,0.5943719857463746,0.1545148290867252
2,Efficient Solver,60,12.219959266802444,11.151666666666667,79.65638888888888,0.6218479350508749,0.041254174403510535
2,Elite Learner,191,38.90020366598778,24.684554973821985,85.9634380453752,0.6552329267762069,0.03856905704323774
2,Lucky (High),48,9.775967413441956,9.232291666666667,89.82083333333333,0.35622513892289875,0.22146085796954204
2,Lucky Guesser,13,2.6476578411405294,19.393589743589743,77.97435897435898,0.45600387810591336,0.17910310044007158
2,Methodical,31,6.313645621181263,19.615053763440862,77.56182795698926,0.4198090711266662,0.04631545577577342
2,Passive,4,0.814663951120163,13.9,43.266666666666666,0.403249686716792,0.06188392857142855
2,Persistent Learner,16,3.258655804480652,21.271875,28.742708333333336,0.6385916936972114,0.05669173086532181
2,Quick Quit,5,1.0183299389002036,9.603333333333335,30.18333333333333,0.6272608390157409,0.13634678719972834
2,Quick Success,29,5.906313645621181,11.871264367816092,92.13678160919542,0.5771370478704244,0.17125999449565446
2,Resigned,6,1.2219959266802445,10.122222222222222,34.02777777777778,0.5972677509300317,0.047678455397753616
2,Struggling Guesser,1,0.20366598778004075,16.8,20.6,0.4337674037674038,0.218083538083538
2,Stuck Thinker,4,0.814663951120163,21.3125,26.333333333333336,0.3887864511133591,0.02113246662420535
2,Thrashing,2,0.4073319755600815,19.05,40.5,0.6421434612547696,0.1343444967811093
