question,rows,students,success_rows,success_rate_rows,solved_students,solved_rate_students,avg_attempts,median_attempts,avg_best_score,median_best_score
q1,10017,567,4182,0.4174902665468703,423,0.746031746031746,16.666666666666668,11.0,76.35802469135803,100.0
q2,11940,569,5668,0.4747068676716918,448,0.7873462214411248,19.984182776801404,16.0,78.99121265377856,100.0
q3,9196,527,4488,0.4880382775119617,386,0.7324478178368121,16.449715370018975,13.0,75.31499051233396,100.0
q4,8508,514,3624,0.42595204513399154,337,0.6556420233463035,15.552529182879377,11.0,68.25291828793775,100.0
q5,5891,501,895,0.15192666779833644,294,0.5868263473053892,10.758483033932135,7.0,71.22754491017965,100.0
q6,2941,309,1087,0.36960217613056784,154,0.49838187702265374,8.517799352750808,5.0,52.16828478964401,90.0
